name,price,type,efficiency,wattage,modular,color,brand,slug
Li EDGE GOLD,120.99,ATX,gold,850,Full,White,Lian,lian-li-edge-gold-850-gold
CAPTAIN,31.99,ATX,,550,Non-modular,Black,Apevia,apevia-captain-550-nan
GT,64.99,ATX,gold,650,Full,White,SAMA,sama-gt-650-gold
A1000G PCIE5,191.0,ATX,gold,1000,Full,Black,MSI,msi-a1000g-pcie5-1000-gold
HELA,540.99,ATX,,2050,Full,Black / White,Silverstone,silverstone-hela-2050-nan
MPG A850G PCIE5,164.99,ATX,gold,850,Full,Black,MSI,msi-mpg-a850g-pcie5-850-gold
Li EDGE,205.99,ATX,platinum,1300,Full,Black,Lian,lian-li-edge-1300-platinum
TUF Gaming 850G,133.96,ATX,gold,850,Full,Black,Asus,asus-tuf-gaming-850g-850-gold
Master MWE GOLD 750 V2 FULL MODULAR,103.99,ATX,gold,750,Full,Black,Cooler,cooler-master-mwe-gold-750-v2-full-modular-750-gold
ROG LOKI,309.99,SFX,titanium,1200,Full,Black / White,Asus,asus-rog-loki-1200-titanium
quiet! Dark Power Pro 13,449.9,ATX,titanium,1600,Full,Black,be,be-quiet-dark-power-pro-13-1600-titanium
MAG A650BE,69.98,ATX,bronze,650,Semi,Black,MSI,msi-mag-a650be-650-bronze
RM850e (2025),129.99,ATX,,850,Full,White,Corsair,corsair-rm850e-2025-850-nan
Focus GX V4 ATX 3 (2024),129.9,ATX,gold,750,Full,Black,SeaSonic,seasonic-focus-gx-v4-atx-3-2024-750-gold
Li EDGE GOLD,109.99,ATX,gold,850,Full,Black,Lian,lian-li-edge-gold-850-gold
Master V750 SFX GOLD,139.99,SFX,gold,750,Full,Black,Cooler,cooler-master-v750-sfx-gold-750-gold
Galaxy,69.98,ATX,gold,850,Semi,Black,Apevia,apevia-galaxy-850-gold
GT,74.99,ATX,gold,750,Full,White,SAMA,sama-gt-750-gold
MAG A1000GL PCIE5,179.69,ATX,gold,1000,Full,Black,MSI,msi-mag-a1000gl-pcie5-1000-gold
400 N1,46.25,ATX,,400,Non-modular,,EVGA,evga-400-n1-400-nan
50315153244479,89.99,ATX,gold,850,Full,Black,Vetroo,vetroo-50315153244479-850-gold
