name,price,type,efficiency,wattage,modular,color,brand,slug
P850GM,174.9,ATX,gold,850,Full,Black,Gigabyte,gigabyte-p850gm-850-gold
RM750x SHIFT,139.99,ATX,gold,750,Full,White,Corsair,corsair-rm750x-shift-750-gold
Flower LEADEX VII XG,159.99,ATX,gold,850,Full,Black,Super,super-flower-leadex-vii-xg-850-gold
MAG A850GN PCIE5,104.99,ATX,gold,850,Non-modular,Black,MSI,msi-mag-a850gn-pcie5-850-gold
HELA 1200R,320.72,ATX,platinum,1200,Full,Black,Silverstone,silverstone-hela-1200r-1200-platinum
Flower LEADEX VII Platinum PRO,239.99,ATX,platinum,1200,Full,Black,Super,super-flower-leadex-vii-platinum-pro-1200-platinum
700 GD,89.0,ATX,gold,700,Non-modular,Black,EVGA,evga-700-gd-700-gold
AORUS ELITE P1000,221.13,ATX,platinum,1000,Full,Black,Gigabyte,gigabyte-aorus-elite-p1000-1000-platinum
SuperNOVA 1300 P+,209.43,ATX,platinum,1300,Full,Black,EVGA,evga-supernova-1300-p-1300-platinum
Flower Leadex III Gold UP,159.99,ATX,gold,1000,Full,Black,Super,super-flower-leadex-iii-gold-up-1000-gold
GV1000,129.99,ATX,gold,1000,Full,Pink,Vetroo,vetroo-gv1000-1000-gold
quiet! System Power 10,205.0,ATX,bronze,550,Non-modular,Black,be,be-quiet-system-power-10-550-bronze
Steel Legend SL-850GW,134.99,ATX,gold,850,Full,White,ASRock,asrock-steel-legend-sl-850gw-850-gold
MPG A1000G,257.3,ATX,gold,1000,Full,Black,MSI,msi-mpg-a1000g-1000-gold
TR2 S,70.61,ATX,plus,600,Non-modular,Black,Thermaltake,thermaltake-tr2-s-600-plus
RM850e (2022),200.0,ATX,gold,850,Full,Black,Corsair,corsair-rm850e-2022-850-gold
VERTEX GX-850,149.99,ATX,gold,850,Full,Black / Silver,SeaSonic,seasonic-vertex-gx-850-850-gold
FX350-G,112.14,Flex ATX,gold,350,Non-modular,Black,Silverstone,silverstone-fx350-g-350-gold
Focus GX V4 ATX 3 (2024),114.74,ATX,gold,750,Full,White,SeaSonic,seasonic-focus-gx-v4-atx-3-2024-750-gold
Group Hydro GE,84.99,ATX,gold,650,Full,,FSP,fsp-group-hydro-ge-650-gold
RM1000e (2022),265.0,ATX,gold,1000,Full,Black,Corsair,corsair-rm1000e-2022-1000-gold
ATX-PR850W PCIE5.0,74.98,ATX,gold,850,Non-modular,Black,Apevia,apevia-atx-pr850w-pcie5-0-850-gold
UD850GM-A PG5,119.99,ATX,gold,850,Full,Black,Gigabyte,gigabyte-ud850gm-a-pg5-850-gold
GX Pro Rampage,159.99,ATX,platinum,1050,Full,White,GameMax,gamemax-gx-pro-rampage-1050-platinum
FOCUS GX-750 ATX 3.0,154.0,ATX,gold,750,Full,Black,SeaSonic,seasonic-focus-gx-750-atx-3-0-750-gold
Challenger CL-650B,62.99,ATX,bronze,650,Non-modular,Black,ASRock,asrock-challenger-cl-650b-650-bronze
Toughpower GF A3 - TT Premium Edition,159.99,ATX,gold,1200,Full,Black,Thermaltake,thermaltake-toughpower-gf-a3-tt-premium-edition-1200-gold
Toughpower GF3 TT Premium,167.99,ATX,gold,1350,Full,Black,Thermaltake,thermaltake-toughpower-gf3-tt-premium-1350-gold
Flower LEADEX VII XG,229.99,ATX,gold,1300,Full,Black,Super,super-flower-leadex-vii-xg-1300-gold
ROG Strix Aura Edition,204.24,ATX,gold,1000,Full,Black,Asus,asus-rog-strix-aura-edition-1000-gold
FOCUS GX,150.41,ATX,gold,650,Full,Black,SeaSonic,seasonic-focus-gx-650-gold
PSAZ-650W,59.99,ATX,bronze,650,Non-modular,Black,Azza,azza-psaz-650w-650-bronze
Master V1300 Platinum,391.9,ATX,platinum,1300,Full,Black,Cooler,cooler-master-v1300-platinum-1300-platinum
quiet! Straight Power 12,172.99,ATX,platinum,750,Full,Black,be,be-quiet-straight-power-12-750-platinum
Toughpower GF A3 - TT Premium Edition,109.99,ATX,gold,750,Full,Black,Thermaltake,thermaltake-toughpower-gf-a3-tt-premium-edition-750-gold
Phantom Gaming PG-1000G,149.99,ATX,gold,1000,Full,Black,ASRock,asrock-phantom-gaming-pg-1000g-1000-gold
CX450M (2015),119.99,ATX,bronze,450,Semi,,Corsair,corsair-cx450m-2015-450-bronze
Katana Chroma,119.99,ATX,platinum,850,Full,Black,Razer,razer-katana-chroma-850-platinum
PSAZ-750W,74.98,ATX,bronze,750,Non-modular,Black,Azza,azza-psaz-750w-750-bronze
Steel Legend SL-650G,97.99,ATX,gold,650,Full,Black,ASRock,asrock-steel-legend-sl-650g-650-gold
Vero L5,99.82,ATX,bronze,600,Non-modular,Black,ENDORFY,endorfy-vero-l5-600-bronze
KRATOS M1 B,64.98,ATX,bronze,750,Non-modular,Black,GAMDIAS,gamdias-kratos-m1-b-750-bronze
TUF Gaming B,84.99,ATX,bronze,550,Non-modular,Black,Asus,asus-tuf-gaming-b-550-bronze
650 BQ,146.03,ATX,bronze,650,Semi,,EVGA,evga-650-bq-650-bronze
RM850x (2018),407.0,ATX,gold,850,Full,White / Black,Corsair,corsair-rm850x-2018-850-gold
Flower Leadex III Gold UP,179.99,ATX,gold,1300,Full,Black,Super,super-flower-leadex-iii-gold-up-1300-gold
Zeus 1650R,557.45,ATX,titanium,1650,Full,,Silverstone,silverstone-zeus-1650r-1650-titanium
quiet! System Power 9 CM,204.42,ATX,bronze,400,Semi,Black,be,be-quiet-system-power-9-cm-400-bronze
Flower LEADEX VII Platinum PRO,239.99,ATX,platinum,1200,Full,White,Super,super-flower-leadex-vii-platinum-pro-1200-platinum
RGB Pro,109.99,ATX,gold,850,Full,White,GameMax,gamemax-rgb-pro-850-gold
Essential,74.25,ATX,gold,550,Non-modular,Black / Yellow,Silverstone,silverstone-essential-550-gold
Design Ion Gold,226.04,ATX,gold,850,Full,Black,Fractal,fractal-design-ion-gold-850-gold
Master MWE Bronze V2,179.34,ATX,bronze,750,Non-modular,Black,Cooler,cooler-master-mwe-bronze-v2-750-bronze
Toughpower GF3 TT Premium,299.99,ATX,gold,1650,Full,Black,Thermaltake,thermaltake-toughpower-gf3-tt-premium-1650-gold
Phantom Gaming PG-750G,99.99,ATX,gold,750,Full,Black,ASRock,asrock-phantom-gaming-pg-750g-750-gold
Phantom Gaming PG-1300G,189.99,ATX,gold,1300,Full,Black,ASRock,asrock-phantom-gaming-pg-1300g-1300-gold
quiet! System Power 10,257.84,ATX,gold,850,Non-modular,Black,be,be-quiet-system-power-10-850-gold
Flower Leadex III Gold UP,119.99,ATX,gold,750,Full,Black,Super,super-flower-leadex-iii-gold-up-750-gold
Challenger CL-550B,57.99,ATX,bronze,550,Non-modular,Black,ASRock,asrock-challenger-cl-550b-550-bronze
ROG Strix Aura Edition,139.99,ATX,gold,750,Full,Black,Asus,asus-rog-strix-aura-edition-750-gold
SuperNOVA 650 P6,155.54,ATX,platinum,650,Full,Black / Silver,EVGA,evga-supernova-650-p6-650-platinum
Phantom Gaming PG-1600G,249.99,ATX,gold,1600,Full,Black,ASRock,asrock-phantom-gaming-pg-1600g-1600-gold
850 BQ,119.0,ATX,bronze,850,Semi,,EVGA,evga-850-bq-850-bronze
SuperNOVA 650 GA,229.99,ATX,gold,650,Full,Black,EVGA,evga-supernova-650-ga-650-gold
Flower Zillion FG,109.99,ATX,gold,850,Full,Black,Super,super-flower-zillion-fg-850-gold
Toughpower PF3-L,149.99,ATX,platinum,850,Full,Black,Thermaltake,thermaltake-toughpower-pf3-l-850-platinum
Steel Legend SL-1000GW,159.99,ATX,gold,1000,Full,White,ASRock,asrock-steel-legend-sl-1000gw-1000-gold
XPG CYBERCORE,169.99,ATX,platinum,1300,Full,Black / Silver,ADATA,adata-xpg-cybercore-1300-platinum
Group FSP400-60FGGBA,99.99,Flex ATX,gold,400,Non-modular,Silver,FSP,fsp-group-fsp400-60fggba-400-gold
Master V750 SFX GOLD,149.99,SFX,gold,750,Full,White,Cooler,cooler-master-v750-sfx-gold-750-gold
Smart BX1 550,62.49,ATX,bronze,550,Non-modular,Black,Thermaltake,thermaltake-smart-bx1-550-550-bronze
CXM,155.0,ATX,bronze,750,Semi,,Corsair,corsair-cxm-750-bronze
Master V SFX Platinum,677.0,SFX,platinum,1300,Full,Black,Cooler,cooler-master-v-sfx-platinum-1300-platinum
SX500-G,113.22,SFX,gold,500,Full,Black,Silverstone,silverstone-sx500-g-500-gold
ROG Strix,287.02,ATX,platinum,850,Full,Black,Asus,asus-rog-strix-850-platinum
MPG A850GF,237.49,ATX,gold,850,Full,Black,MSI,msi-mpg-a850gf-850-gold
750 BQ,168.73,ATX,bronze,750,Semi,,EVGA,evga-750-bq-750-bronze
PRIME PX-1600 ATX 3.0,469.99,ATX,platinum,1600,Full,Black / Silver,SeaSonic,seasonic-prime-px-1600-atx-3-0-1600-platinum
TITAN PLA,239.0,ATX,platinum,1200,Full,White,Montech,montech-titan-pla-1200-platinum
Challenger CL-750B,74.99,ATX,bronze,750,Non-modular,Black,ASRock,asrock-challenger-cl-750b-750-bronze
TR2 S,102.55,ATX,plus,700,Non-modular,Black,Thermaltake,thermaltake-tr2-s-700-plus
quiet! System Power 9 700 CM,195.36,ATX,bronze,700,Semi,Black,be,be-quiet-system-power-9-700-cm-700-bronze
C550,89.98,ATX,bronze,550,Semi,Black,NZXT,nzxt-c550-550-bronze
SuperNOVA 1000 P2,499.0,ATX,platinum,1000,Full,,EVGA,evga-supernova-1000-p2-1000-platinum
C650 (2022),139.98,ATX,gold,650,Full,Black,NZXT,nzxt-c650-2022-650-gold
Toughpower SFX,139.38,SFX,platinum,750,Full,Black,Thermaltake,thermaltake-toughpower-sfx-750-platinum
RM650,229.99,ATX,gold,650,Full,Black,Corsair,corsair-rm650-650-gold
SSP-300SFG,108.6,SFX,gold,300,Non-modular,Silver,SeaSonic,seasonic-ssp-300sfg-300-gold
PRIME Fanless,365.28,ATX,titanium,700,Full,Black,SeaSonic,seasonic-prime-fanless-700-titanium
HX1500i (2022),478.99,ATX,platinum,1500,Full,Black,Corsair,corsair-hx1500i-2022-1500-platinum
ROG Strix Aura Edition,209.99,ATX,gold,1000,Full,White,Asus,asus-rog-strix-aura-edition-1000-gold
Challenger CL-850G,89.99,ATX,gold,850,Non-modular,Black,ASRock,asrock-challenger-cl-850g-850-gold
Flower LEADEX VII XG,184.99,ATX,gold,1000,Full,White,Super,super-flower-leadex-vii-xg-1000-gold
SX700-PT,187.03,SFX,platinum,700,Full,Black,Silverstone,silverstone-sx700-pt-700-platinum
quiet! System Power 10,271.0,ATX,bronze,750,Non-modular,Black,be,be-quiet-system-power-10-750-bronze
G12 GC,345.72,ATX,gold,650,Non-modular,Black / Blue,SeaSonic,seasonic-g12-gc-650-gold
610 BP,122.38,ATX,bronze,610,Non-modular,Black,EVGA,evga-610-bp-610-bronze
AMPERE,115.0,ATX,platinum,850,Full,Black,RAIJINTEK,raijintek-ampere-850-platinum
SuperNOVA 850 P2,399.99,ATX,platinum,850,Full,,EVGA,evga-supernova-850-p2-850-platinum
ROG Strix Aura Edition,184.99,ATX,gold,850,Full,Black,Asus,asus-rog-strix-aura-edition-850-gold
650 B5,189.99,ATX,bronze,650,Full,Black,EVGA,evga-650-b5-650-bronze
SX1000-LPT,319.99,SFX,platinum,1000,Full,Black,Silverstone,silverstone-sx1000-lpt-1000-platinum
SuperNOVA 1000 G5,237.42,ATX,gold,1000,Full,Black / Green,EVGA,evga-supernova-1000-g5-1000-gold
SST-TX300,59.0,TFX,bronze,300,Non-modular,Black,Silverstone,silverstone-sst-tx300-300-bronze
Toughpower GF2 ARGB,99.98,ATX,gold,650,Full,Black,Thermaltake,thermaltake-toughpower-gf2-argb-650-gold
600 B1,176.99,ATX,bronze,600,Non-modular,,EVGA,evga-600-b1-600-bronze
SilentStorm,186.62,SFX,gold,500,Full,Black,SHARKOON,sharkoon-silentstorm-500-gold
SFX,168.95,SFX,platinum,700,Full,Black,Silverstone,silverstone-sfx-700-platinum
Toughpower PF3-L,219.99,ATX,platinum,1200,Full,Black,Thermaltake,thermaltake-toughpower-pf3-l-1200-platinum
NE1000G M ATX3.0,179.99,ATX,gold,1000,Full,Black,Antec,antec-ne1000g-m-atx3-0-1000-gold
Taichi TC-1300T,449.99,ATX,titanium,1300,Full,Black / Silver,ASRock,asrock-taichi-tc-1300t-1300-titanium
HX1200i,449.0,ATX,platinum,1200,Full,,Corsair,corsair-hx1200i-1200-platinum
PRIME Titanium,599.0,ATX,titanium,1000,Full,,SeaSonic,seasonic-prime-titanium-1000-titanium
TX500-G,159.79,TFX,gold,500,Non-modular,Black,Silverstone,silverstone-tx500-g-500-gold
Smart RGB 230V,136.0,ATX,plus,500,Non-modular,Black,Thermaltake,thermaltake-smart-rgb-230v-500-plus
"Group Hydro PTM X PRO,Gen5",179.99,ATX,platinum,1000,Full,Black,FSP,fsp-group-hydro-ptm-x-pro-gen5-1000-platinum
Flower LEADEX VII XG,189.99,ATX,gold,1000,Full,Black,Super,super-flower-leadex-vii-xg-1000-gold
Power AP-MFATX40P8,74.98,Flex ATX,bronze,400,Non-modular,Silver,Athena,athena-power-ap-mfatx40p8-400-bronze
Flower LEADEX VII Platinum PRO,169.99,ATX,platinum,850,Full,Black,Super,super-flower-leadex-vii-platinum-pro-850-platinum
HELIOS P2-850G,89.99,ATX,gold,850,Non-modular,Black,GAMDIAS,gamdias-helios-p2-850g-850-gold
TITAN PLA,189.0,ATX,platinum,850,Full,White,Montech,montech-titan-pla-850-platinum
Toughpower GF1 PE,215.99,ATX,gold,850,Full,Black,Thermaltake,thermaltake-toughpower-gf1-pe-850-gold
Strider Titanium,389.99,ATX,titanium,1300,Full,Black / Blue,Silverstone,silverstone-strider-titanium-1300-titanium
Supremo FM5,179.19,ATX,gold,750,Full,Black,ENDORFY,endorfy-supremo-fm5-750-gold
G12 GM,292.64,ATX,gold,850,Semi,Black / Blue,SeaSonic,seasonic-g12-gm-850-gold
CMG1200G5,129.99,ATX,gold,1200,Full,Black,Rosewill,rosewill-cmg1200g5-1200-gold
850 B5,169.0,ATX,bronze,850,Full,Black,EVGA,evga-850-b5-850-bronze
SFX,111.08,SFX,bronze,450,Non-modular,Black,Silverstone,silverstone-sfx-450-bronze
SuperNOVA 1600 P+,459.33,ATX,platinum,1600,Full,Black,EVGA,evga-supernova-1600-p-1600-platinum
Toughpower PF3-L,184.99,ATX,platinum,1050,Full,Black,Thermaltake,thermaltake-toughpower-pf3-l-1050-platinum
VERTEX PX-850,309.35,ATX,platinum,850,Full,Black / Silver,SeaSonic,seasonic-vertex-px-850-850-platinum
DA1000R,245.58,ATX,gold,1000,Full,Black,Silverstone,silverstone-da1000r-1000-gold
Group FSP300-57FCB,129.99,Flex ATX,gold,300,Full,Black,FSP,fsp-group-fsp300-57fcb-300-gold
Design Ion Gold,208.11,ATX,gold,750,Full,Black,Fractal,fractal-design-ion-gold-750-gold
Revolution D.F. X,149.99,ATX,gold,1350,Full,Black,Enermax,enermax-revolution-d-f-x-1350-gold
"Group Hydro PTM X PRO,Gen5",209.99,ATX,platinum,1200,Full,Black,FSP,fsp-group-hydro-ptm-x-pro-gen5-1200-platinum
Prime Fanless PX-500,255.07,ATX,platinum,500,Full,Black,SeaSonic,seasonic-prime-fanless-px-500-500-platinum
HX1000i (2022),260.0,ATX,platinum,1000,Full,Black,Corsair,corsair-hx1000i-2022-1000-platinum
VERTEX GX-750,149.99,ATX,gold,750,Full,Black / Silver,SeaSonic,seasonic-vertex-gx-750-750-gold
TITAN PLA,219.62,ATX,platinum,1000,Full,White,Montech,montech-titan-pla-1000-platinum
PSAZ-550W,54.99,ATX,bronze,550,Non-modular,Black,Azza,azza-psaz-550w-550-bronze
SX-G,152.99,SFX,gold,700,Full,Black,Silverstone,silverstone-sx-g-700-gold
Vero L5,89.92,ATX,bronze,500,Non-modular,Black,ENDORFY,endorfy-vero-l5-500-bronze
Master MWE White V2 230V,126.29,ATX,plus,700,Non-modular,Black,Cooler,cooler-master-mwe-white-v2-230v-700-plus
HELA 850R,220.85,ATX,platinum,850,Full,Black / Silver,Silverstone,silverstone-hela-850r-850-platinum
C650,99.98,ATX,bronze,650,Semi,Black,NZXT,nzxt-c650-650-bronze
PRIME 1300 Gold,289.98,ATX,gold,1300,Full,Black,SeaSonic,seasonic-prime-1300-gold-1300-gold
UD1300GM PG5,219.99,ATX,gold,1300,Full,Black,Gigabyte,gigabyte-ud1300gm-pg5-1300-gold
RGB,199.99,ATX,platinum,1300,Full,Black,GameMax,gamemax-rgb-1300-platinum
SuperNOVA 750 P2,449.99,ATX,platinum,750,Full,,EVGA,evga-supernova-750-p2-750-platinum
Essential,68.2,ATX,bronze,550,Non-modular,Black,Silverstone,silverstone-essential-550-bronze
SuperNOVA 1200 P3,363.17,ATX,platinum,1200,Full,Black / Silver,EVGA,evga-supernova-1200-p3-1200-platinum
NE1000G M White ATX 3.0,283.18,ATX,gold,1000,Full,White,Antec,antec-ne1000g-m-white-atx-3-0-1000-gold
TITAN PLA,139.0,ATX,platinum,750,Full,White,Montech,montech-titan-pla-750-platinum
PlatiGemini,259.99,ATX,platinum,1200,Full,Black,Enermax,enermax-platigemini-1200-platinum
TX700-G,210.45,TFX,gold,700,Non-modular,Black,Silverstone,silverstone-tx700-g-700-gold
Smart RGB 230V,74.48,ATX,plus,600,Non-modular,Black,Thermaltake,thermaltake-smart-rgb-230v-600-plus
VTE,76.54,ATX,bronze,600,Non-modular,Black,Cougar,cougar-vte-600-bronze
GSK ATX3.1,173.07,ATX,gold,750,Full,Black,Antec,antec-gsk-atx3-1-750-gold
SuperNOVA 1000 G3,399.99,ATX,gold,1000,Full,,EVGA,evga-supernova-1000-g3-1000-gold
"Group Hydro PTM X PRO,Gen5",160.56,ATX,platinum,850,Full,Black,FSP,fsp-group-hydro-ptm-x-pro-gen5-850-platinum
Group FSP300-60LG,133.59,Mini ITX,bronze,300,Non-modular,Black,FSP,fsp-group-fsp300-60lg-300-bronze
Master V750 Gold V2,193.9,ATX,gold,750,Full,Black,Cooler,cooler-master-v750-gold-v2-750-gold
Argus RGB II,106.57,ATX,bronze,500,Non-modular,Black,Inter-Tech,inter-tech-argus-rgb-ii-500-bronze
Strider,98.34,ATX,bronze,700,Full,,Silverstone,silverstone-strider-700-bronze
CENTURY G5,99.71,ATX,gold,750,Full,Black,Montech,montech-century-g5-750-gold
VP,39.99,ATX,,450,Non-modular,,Antec,antec-vp-450-nan
CSK,126.9,ATX,bronze,550,Non-modular,Black / Yellow,Antec,antec-csk-550-bronze
SuperNOVA 1600 P2,799.99,ATX,platinum,1600,Full,,EVGA,evga-supernova-1600-p2-1600-platinum
PRIME TX,673.36,ATX,titanium,1600,Full,Black / Silver,SeaSonic,seasonic-prime-tx-1600-titanium
URANO VX,73.87,ATX,bronze,750,Non-modular,Black / Orange,NOX,nox-urano-vx-750-bronze
Strider Platinum S,292.99,ATX,platinum,1200,Full,Black,Silverstone,silverstone-strider-platinum-s-1200-platinum
Toughpower iRGB PLUS 750,118.5,ATX,gold,750,Full,Black,Thermaltake,thermaltake-toughpower-irgb-plus-750-750-gold
RGB Rainbow,160.99,ATX,gold,1050,Full,Black,GameMax,gamemax-rgb-rainbow-1050-gold
RGB Pro,139.99,ATX,gold,1050,Full,White,GameMax,gamemax-rgb-pro-1050-gold
SuperNOVA 1000 T2,649.99,ATX,titanium,1000,Full,,EVGA,evga-supernova-1000-t2-1000-titanium
Flower Zillion FG,139.99,ATX,gold,1050,Full,Black,Super,super-flower-zillion-fg-1050-gold
Strider Platinum,162.22,ATX,platinum,650,Full,,Silverstone,silverstone-strider-platinum-650-platinum
E850,134.94,ATX,gold,850,Full,Black,NZXT,nzxt-e850-850-gold
Master XG850 Plus,145.99,ATX,platinum,850,Full,Black,Cooler,cooler-master-xg850-plus-850-platinum
SilentStorm Cool Zero 650,169.64,ATX,gold,650,Full,Black,SHARKOON,sharkoon-silentstorm-cool-zero-650-650-gold
AORUS P GM,180.31,ATX,gold,750,Full,Black / Silver,Gigabyte,gigabyte-aorus-p-gm-750-gold
AX850,319.99,ATX,gold,850,Full,,Corsair,corsair-ax850-850-gold
TX650,255.0,ATX,plus,650,Non-modular,,Corsair,corsair-tx650-650-plus
Master MWE Gold V2 ATX3.0,313.0,ATX,gold,1250,Full,Black,Cooler,cooler-master-mwe-gold-v2-atx3-0-1250-gold
500 BA,109.99,ATX,bronze,500,Non-modular,Black,EVGA,evga-500-ba-500-bronze
VERTEX PX-750,324.46,ATX,platinum,750,Full,Black / Silver,SeaSonic,seasonic-vertex-px-750-750-platinum
XP600R6,174.35,ATX,,600,Non-modular,Black / Red,Xilence,xilence-xp600r6-600-nan
Group Hydro PTM PRO,139.99,ATX,platinum,850,Full,Black,FSP,fsp-group-hydro-ptm-pro-850-platinum
Strider Platinum S,215.21,ATX,platinum,1000,Full,Black,Silverstone,silverstone-strider-platinum-s-1000-platinum
FOCUS GX,486.87,ATX,gold,1000,Full,Black,SeaSonic,seasonic-focus-gx-1000-gold
AMPERE,162.9,ATX,platinum,1200,Full,Black,RAIJINTEK,raijintek-ampere-1200-platinum
C (2019),215.01,ATX,gold,850,Full,Black,NZXT,nzxt-c-2019-850-gold
SSP-300SUG,119.0,Flex ATX,gold,300,Non-modular,Silver,SeaSonic,seasonic-ssp-300sug-300-gold
Katana Chroma,389.99,ATX,platinum,1200,Full,Black,Razer,razer-katana-chroma-1200-platinum
AMPERE,139.9,ATX,platinum,1000,Full,Black,RAIJINTEK,raijintek-ampere-1000-platinum
SuperNOVA 650 P2,399.99,ATX,platinum,650,Full,,EVGA,evga-supernova-650-p2-650-platinum
Essential,91.98,ATX,gold,550,Semi,Black,Silverstone,silverstone-essential-550-gold
XP750R6.2,94.75,ATX,plus,750,Non-modular,Black,Xilence,xilence-xp750r6-2-750-plus
FSP300-60ATV,59.99,ATX,,300,Non-modular,,Sparkle,sparkle-fsp300-60atv-300-nan
NE1300G M ATX3.0,236.67,ATX,gold,1300,Full,Black,Antec,antec-ne1300g-m-atx3-0-1300-gold
AMPERE,169.9,ATX,platinum,1200,Full,White,RAIJINTEK,raijintek-ampere-1200-platinum
Toughpower GF1 PE,169.99,ATX,gold,750,Full,Black,Thermaltake,thermaltake-toughpower-gf1-pe-750-gold
Argus RGB CM II,213.83,ATX,gold,650,Semi,Black,Inter-Tech,inter-tech-argus-rgb-cm-ii-650-gold
Essential,107.51,ATX,gold,750,Semi,Black / Blue,Silverstone,silverstone-essential-750-gold
AL-8250SFX,83.71,SFX,,250,Non-modular,Silver,Apex,apex-al-8250sfx-250-nan
MAG A-GL PCIE5 II,155.09,ATX,gold,1000,Full,Black,MSI,msi-mag-a-gl-pcie5-ii-1000-gold
Extreme 850R Platinum,255.21,SFX,,850,Full,Black,Silverstone,silverstone-extreme-850r-platinum-850-nan
Strider,487.49,ATX,silver,1500,Full,Black,Silverstone,silverstone-strider-1500-silver
Group Hydro PTM PRO,129.99,ATX,platinum,750,Full,Black,FSP,fsp-group-hydro-ptm-pro-750-platinum
MAXREVO SLI,139.99,ATX,gold,1350,Full,Black / Gold,Enermax,enermax-maxrevo-sli-1350-gold
DA750 Gold,148.72,ATX,gold,750,Full,Black / White,Silverstone,silverstone-da750-gold-750-gold
High Current Gamer PRO ATX3.1,292.7,ATX,platinum,1000,Full,Black,Antec,antec-high-current-gamer-pro-atx3-1-1000-platinum
Argus RGB CM II,239.14,ATX,gold,750,Semi,Black,Inter-Tech,inter-tech-argus-rgb-cm-ii-750-gold
ATMOS,207.7,ATX,gold,850,Full,Black,Chieftec,chieftec-atmos-850-gold
ST75F-GS-V3,125.99,ATX,gold,750,Full,Black,Silverstone,silverstone-st75f-gs-v3-750-gold
UD850GM-A,109.99,ATX,gold,850,Full,Black,Gigabyte,gigabyte-ud850gm-a-850-gold
Rebel P20 SFX,490.9,SFX,platinum,1000,Full,Black,SHARKOON,sharkoon-rebel-p20-sfx-1000-platinum
ARGB,64.98,ATX,bronze,650,Non-modular,Black,Azza,azza-argb-650-bronze
Strider Platinum,150.38,ATX,platinum,750,Full,,Silverstone,silverstone-strider-platinum-750-platinum
Group Hydro GE,84.99,ATX,gold,650,Full,Black,FSP,fsp-group-hydro-ge-650-gold
Cooler YS850,129.99,ATX,gold,850,Full,Black,PC,pc-cooler-ys850-850-gold
SuperNOVA 1600 G2,599.99,ATX,gold,1600,Full,,EVGA,evga-supernova-1600-g2-1600-gold
SX1000R-PL,326.99,SFX,platinum,1000,Full,Black / White,Silverstone,silverstone-sx1000r-pl-1000-platinum
Essential,95.32,ATX,gold,750,Non-modular,Black / Yellow,Silverstone,silverstone-essential-750-gold
Win P130II,249.0,ATX,platinum,1300,Full,Black,In,in-win-p130ii-1300-platinum
710 BP,200.29,ATX,bronze,710,Non-modular,Black,EVGA,evga-710-bp-710-bronze
Group FSP500-50FSPT,198.99,Flex ATX,platinum,500,Non-modular,Silver,FSP,fsp-group-fsp500-50fspt-500-platinum
Power & Cooling Silencer,186.89,ATX,platinum,1050,Full,,PC,pc-power-cooling-silencer-1050-platinum
TOUGHPOWER PF1 ARGB,199.98,ATX,platinum,850,Full,,Thermaltake,thermaltake-toughpower-pf1-argb-850-platinum
ATMOS,181.58,ATX,gold,750,Full,Black,Chieftec,chieftec-atmos-750-gold
Strider Titanium,363.99,ATX,titanium,1100,Full,Black / Blue,Silverstone,silverstone-strider-titanium-1100-titanium
ST85F-GS-V2,131.33,ATX,gold,850,Full,,Silverstone,silverstone-st85f-gs-v2-850-gold
Group FSP220-60LE(80),79.98,Mini ITX,plus,220,Non-modular,Silver,FSP,fsp-group-fsp220-60le-80-220-plus
High Current Gamer,155.31,ATX,bronze,620,Semi,,Antec,antec-high-current-gamer-620-bronze
Smart BM2,327.49,ATX,bronze,750,Semi,Black,Thermaltake,thermaltake-smart-bm2-750-bronze
Smart SE,243.57,ATX,,630,Semi,,Thermaltake,thermaltake-smart-se-630-nan
Signature Platinum,384.9,ATX,platinum,1300,Full,Black,Antec,antec-signature-platinum-1300-platinum
XPG FUSION 1600,599.99,ATX,titanium,1600,Full,Black / Silver,ADATA,adata-xpg-fusion-1600-1600-titanium
Smart SE,145.0,ATX,,530,Semi,Black,Thermaltake,thermaltake-smart-se-530-nan
quiet! TFX Power 3 300,143.97,TFX,gold,300,Non-modular,Black,be,be-quiet-tfx-power-3-300-300-gold
Cooler YS1000,179.99,ATX,gold,1000,Full,Black,PC,pc-cooler-ys1000-1000-gold
TX300,90.97,TFX,bronze,300,Non-modular,Black,Silverstone,silverstone-tx300-300-bronze
Win P105II,199.0,ATX,platinum,1050,Full,Black,In,in-win-p105ii-1050-platinum
AX650,250.0,ATX,gold,650,Full,,Corsair,corsair-ax650-650-gold
Win P85,211.74,ATX,gold,850,Full,Black,In,in-win-p85-850-gold
Earthwatts Green,108.11,ATX,plus,500,Non-modular,,Antec,antec-earthwatts-green-500-plus
Power Apollo,55.99,SFX,,300,Non-modular,Silver,Athena,athena-power-apollo-300-nan
TX750 V2,300.0,ATX,bronze,750,Non-modular,,Corsair,corsair-tx750-v2-750-bronze
Design Ion Gold,238.0,ATX,gold,550,Full,Black,Fractal,fractal-design-ion-gold-550-gold
Smart,196.56,ATX,bronze,750,Semi,,Thermaltake,thermaltake-smart-750-bronze
CFZ,99.99,ATX,bronze,750,Semi,Black,Rosewill,rosewill-cfz-750-bronze
VALENS-600,140.0,ATX,gold,600,Non-modular,,Rosewill,rosewill-valens-600-600-gold
Green,80.0,ATX,plus,430,Non-modular,,Rosewill,rosewill-green-430-plus
GEX,159.0,ATX,gold,1050,Full,Black,Cougar,cougar-gex-1050-gold
Argus RGB II,192.22,ATX,bronze,600,Non-modular,Black,Inter-Tech,inter-tech-argus-rgb-ii-600-bronze
