name,price,capacity,price_per_gb,type,cache,form_factor,interface,brand,model,slug
Western Digital Blue SN580,114.99,2000.0,0.057,SSD,,M.2-2280,PCIe Gen4,Western,Digital Blue SN580,western-digital-blue-sn580-2000-0-pcie-gen4
Samsung 980 Pro,140.0,1000.0,0.14,SSD,1024.0,M.2-2280,PCIe Gen4,Samsung,980 Pro,samsung-980-pro-1000-0-pcie-gen4
Crucial P310,64.99,1000.0,0.065,SSD,,M.2-2280,PCIe Gen4,Crucial,P310,crucial-p310-1000-0-pcie-gen4
Kingston NV2,65.77,1000.0,0.066,SSD,,M.2-2280,PCIe Gen4,Kingston,NV2,kingston-nv2-1000-0-pcie-gen4
Mushkin Source HC,3033.0,16000.0,0.19,SSD,,2.5,SATA,Mushkin,Source HC,mushkin-source-hc-16000-0-sata
Sabrent Rocket 4 Plus,1058.89,8000.0,0.132,SSD,,M.2-2280,PCIe Gen4,Sabrent,Rocket 4 Plus,sabrent-rocket-4-plus-8000-0-pcie-gen4
TEAMGROUP MP44L,105.99,2000.0,0.053,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,MP44L,teamgroup-mp44l-2000-0-pcie-gen4
Seagate Barracuda Compute,130.0,8000.0,0.016,5400,256.0,3.5,SATA,Seagate,Barracuda Compute,seagate-barracuda-compute-8000-0-sata
Samsung 870 Evo,168.74,2000.0,0.084,SSD,2048.0,2.5,SATA,Samsung,870 Evo,samsung-870-evo-2000-0-sata
Samsung 9100 PRO,154.99,1000.0,0.155,SSD,1024.0,M.2-2280,PCIe Gen5,Samsung,9100 PRO,samsung-9100-pro-1000-0-pcie-gen5
Lexar NM790,124.99,2000.0,0.062,SSD,,M.2-2280,PCIe Gen4,Lexar,NM790,lexar-nm790-2000-0-pcie-gen4
Crucial T705,199.99,2000.0,0.1,SSD,,M.2-2280,PCIe Gen5,Crucial,T705,crucial-t705-2000-0-pcie-gen5
Western Digital WD Blue SN5000,59.79,1000.0,0.06,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD Blue SN5000,western-digital-wd-blue-sn5000-1000-0-pcie-gen4
Western Digital WD_BLACK SN7100,129.99,2000.0,0.065,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD_BLACK SN7100,western-digital-wd-black-sn7100-2000-0-pcie-gen4
Kingston NV3,38.99,500.0,0.078,SSD,,M.2-2280,PCIe Gen4,Kingston,NV3,kingston-nv3-500-0-pcie-gen4
Samsung 870 Evo,54.99,500.0,0.11,SSD,512.0,2.5,SATA,Samsung,870 Evo,samsung-870-evo-500-0-sata
Kingston KC3000,161.9,2048.0,0.079,SSD,,M.2-2280,PCIe Gen4,Kingston,KC3000,kingston-kc3000-2048-0-pcie-gen4
MSI SPATIUM M461,89.99,2000.0,,SSD,,M.2-2280,PCIe Gen4,MSI,SPATIUM M461,msi-spatium-m461-2000-0-pcie-gen4
Samsung 970 Evo Plus,79.99,500.0,0.16,SSD,512.0,M.2-2280,PCIe Gen4,Samsung,970 Evo Plus,samsung-970-evo-plus-500-0-pcie-gen4
PNY CS1030,49.99,1000.0,0.05,SSD,,M.2-2280,PCIe Gen4,PNY,CS1030,pny-cs1030-1000-0-pcie-gen4
Crucial P310,112.49,2000.0,0.056,SSD,,M.2-2280,PCIe Gen4,Crucial,P310,crucial-p310-2000-0-pcie-gen4
Samsung 870 QVO,629.99,8000.0,0.079,SSD,,2.5,SATA,Samsung,870 QVO,samsung-870-qvo-8000-0-sata
Western Digital WD_BLACK SN7100,73.0,1000.0,0.073,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD_BLACK SN7100,western-digital-wd-black-sn7100-1000-0-pcie-gen4
Crucial P3,69.38,1000.0,0.069,SSD,,M.2-2280,PCIe Gen4,Crucial,P3,crucial-p3-1000-0-pcie-gen4
Patriot Burst Elite,12.49,120.0,0.104,SSD,,2.5,SATA,Patriot,Burst Elite,patriot-burst-elite-120-0-sata
Acer Predator GM7000,124.99,2000.0,0.062,SSD,2048.0,M.2-2280,PCIe Gen4,Acer,Predator GM7000,acer-predator-gm7000-2000-0-pcie-gen4
Western Digital Blue,64.98,2000.0,0.032,7200,256.0,3.5,SATA,Western,Digital Blue,western-digital-blue-2000-0-sata
Kingston Fury Renegade,154.0,2000.0,0.077,SSD,,M.2-2280,PCIe Gen4,Kingston,Fury Renegade,kingston-fury-renegade-2000-0-pcie-gen4
Seagate BarraCuda,54.59,1000.0,0.055,7200,64.0,3.5,SATA,Seagate,BarraCuda,seagate-barracuda-1000-0-sata
Crucial BX500,66.98,1000.0,0.067,SSD,,2.5,SATA,Crucial,BX500,crucial-bx500-1000-0-sata
Western Digital WD_BLACK SN8100,464.99,4000.0,0.116,SSD,4096.0,M.2-2280,PCIe Gen5,Western,Digital WD_BLACK SN8100,western-digital-wd-black-sn8100-4000-0-pcie-gen5
Western Digital WD Green SN3000,67.99,1000.0,0.068,SSD,,M.2-2280,PCIe Gen4,Western,Digital WD Green SN3000,western-digital-wd-green-sn3000-1000-0-pcie-gen4
TEAMGROUP T-FORCE G50,57.99,1000.0,0.058,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,T-FORCE G50,teamgroup-t-force-g50-1000-0-pcie-gen4
Samsung 970 Evo Plus,189.95,2000.0,0.095,SSD,1024.0,M.2-2280,PCIe Gen4,Samsung,970 Evo Plus,samsung-970-evo-plus-2000-0-pcie-gen4
Samsung 990 Pro w/Heatsink,159.99,2000.0,0.08,SSD,2048.0,M.2-2280,PCIe Gen4,Samsung,990 Pro w/Heatsink,samsung-990-pro-w-heatsink-2000-0-pcie-gen4
Lexar NM790,67.99,1000.0,0.068,SSD,,M.2-2280,PCIe Gen4,Lexar,NM790,lexar-nm790-1000-0-pcie-gen4
Samsung 990 EVO,129.99,2000.0,0.065,SSD,,M.2-2280,PCIe Gen5,Samsung,990 EVO,samsung-990-evo-2000-0-pcie-gen5
Western Digital WD_BLACK SN8100,224.99,2000.0,0.112,SSD,2048.0,M.2-2280,PCIe Gen5,Western,Digital WD_BLACK SN8100,western-digital-wd-black-sn8100-2000-0-pcie-gen5
Samsung 980,106.9,1000.0,0.107,SSD,,M.2-2280,PCIe Gen4,Samsung,980,samsung-980-1000-0-pcie-gen4
Crucial T705,389.99,4000.0,0.097,SSD,,M.2-2280,PCIe Gen5,Crucial,T705,crucial-t705-4000-0-pcie-gen5
Crucial T500,75.19,1000.0,0.075,SSD,,M.2-2280,PCIe Gen4,Crucial,T500,crucial-t500-1000-0-pcie-gen4
Patriot P300,23.49,256.0,0.092,SSD,,M.2-2280,PCIe Gen4,Patriot,P300,patriot-p300-256-0-pcie-gen4
Patriot Viper VP4300 Lite,103.98,2000.0,0.052,SSD,,M.2-2280,PCIe Gen4,Patriot,Viper VP4300 Lite,patriot-viper-vp4300-lite-2000-0-pcie-gen4
Kingston A400,24.99,240.0,0.104,SSD,,2.5,SATA,Kingston,A400,kingston-a400-240-0-sata
TEAMGROUP MP33,34.99,512.0,0.068,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,MP33,teamgroup-mp33-512-0-pcie-gen4
TEAMGROUP T-FORCE G50,104.99,2000.0,0.052,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,T-FORCE G50,teamgroup-t-force-g50-2000-0-pcie-gen4
Samsung 990 EVO,74.98,1000.0,0.075,SSD,,M.2-2280,PCIe Gen5,Samsung,990 EVO,samsung-990-evo-1000-0-pcie-gen5
Silicon Power A60,54.97,1000.0,0.055,SSD,,M.2-2280,PCIe Gen4,Silicon,Power A60,silicon-power-a60-1000-0-pcie-gen4
MSI SPATIUM M480 PRO,119.99,2000.0,0.06,SSD,2048.0,M.2-2280,PCIe Gen4,MSI,SPATIUM M480 PRO,msi-spatium-m480-pro-2000-0-pcie-gen4
Samsung 990 Pro w/Heatsink,315.05,4000.0,0.079,SSD,4096.0,M.2-2280,PCIe Gen4,Samsung,990 Pro w/Heatsink,samsung-990-pro-w-heatsink-4000-0-pcie-gen4
Samsung 9100 PRO w/Heatsink,449.99,4000.0,0.112,SSD,4096.0,M.2-2280,PCIe Gen5,Samsung,9100 PRO w/Heatsink,samsung-9100-pro-w-heatsink-4000-0-pcie-gen5
Crucial P510,99.99,1000.0,0.1,SSD,,M.2-2280,PCIe Gen5,Crucial,P510,crucial-p510-1000-0-pcie-gen5
TEAMGROUP MP44L,34.99,500.0,0.07,SSD,,M.2-2280,PCIe Gen4,TEAMGROUP,MP44L,teamgroup-mp44l-500-0-pcie-gen4
