brand,model,slug,name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,thread_count
Intel,i7-13700KF,13700kf,Intel Core i7-13700KF,299.0,16,3.4,5.4,Raptor Lake,125,,32
Intel,i5-14400,14400,Intel Core i5-14400,175.98,10,2.5,4.7,Raptor Lake Refresh,65,Intel UHD Graphics 730,20
AMD,7700,7700,AMD Ryzen 7 7700,393.08,8,3.6,5.3,Zen 4,65,Radeon,16
AMD,7800X3D,7800x3d,AMD Ryzen 7 7800X3D,431.66,8,4.2,5.0,Zen 4,120,Radeon,16
AMD,7900X3D,7900x3d,AMD Ryzen 9 7900X3D,,12,4.4,5.6,Zen 4,120,Radeon,24
Intel,225F,225f,Intel Core Ultra 5 225F,190.83,10,3.3,4.9,Arrow Lake,65,,20
Intel,i3-14100,14100,Intel Core i3-14100,119.95,4,3.5,4.7,Raptor Lake Refresh,60,Intel UHD Graphics 730,8
Intel,i3-13100F,13100f,Intel Core i3-13100F,85.34,4,3.4,4.5,Raptor Lake,58,,8
Intel,i5-13400,13400,Intel Core i5-13400,164.05,10,2.5,4.6,Raptor Lake,65,Intel UHD Graphics 730,20
Intel,i7-13700F,13700f,Intel Core i7-13700F,255.0,16,2.1,5.2,Raptor Lake,65,,32
AMD,5500GT,5500gt,AMD Ryzen 5 5500GT,141.92,6,3.6,4.4,Zen 3,65,Radeon Vega 7,12
Intel,i9-13900KF,13900kf,Intel Core i9-13900KF,435.0,24,3.0,5.8,Raptor Lake,125,,48
AMD,9600,9600,AMD Ryzen 5 9600,467.55,6,3.8,5.2,Zen 5,65,Radeon,12
Intel,235,235,Intel Core Ultra 5 235,264.99,14,3.4,5.0,Arrow Lake,65,Intel Xe,28
Intel,225,225,Intel Core Ultra 5 225,213.01,10,3.3,4.9,Arrow Lake,65,Intel Xe,20
Intel,i7-14700,14700,Intel Core i7-14700,306.55,20,2.1,5.4,Raptor Lake Refresh,65,Intel UHD Graphics 770,40
Intel,i5-13500,13500,Intel Core i5-13500,234.99,14,2.5,4.8,Raptor Lake,65,Intel UHD Graphics 770,28
Intel,285,285,Intel Core Ultra 9 285,579.99,24,2.5,5.6,Arrow Lake,65,Intel Xe,48
Intel,i5-14500,14500,Intel Core i5-14500,238.09,14,2.6,5.0,Raptor Lake Refresh,65,Intel UHD Graphics 770,28
Intel,265,265,Intel Core Ultra 7 265,374.99,20,2.4,5.3,Arrow Lake,65,Intel Xe,40
Intel,i9-13900KS,13900ks,Intel Core i9-13900KS,429.0,24,3.0,6.0,Raptor Lake,150,Intel UHD Graphics 770,48
Intel,265F,265f,Intel Core Ultra 7 265F,269.99,20,2.4,5.3,Arrow Lake,65,,40
AMD,4564P,4564p,AMD EPYC 4564P,699.99,16,4.5,5.7,Zen 4,170,Radeon,32
AMD,5600X3D,5600x3d,AMD Ryzen 5 5600X3D,,6,3.3,4.4,Zen 3,105,,12
Intel,245KF,245kf,Intel Core Ultra 5 245KF,284.99,14,4.2,5.2,Arrow Lake,125,,28
Intel,i3-13100,13100,Intel Core i3-13100,125.25,4,3.4,4.5,Raptor Lake,60,Intel UHD Graphics 730,8
Intel,i7-13700,13700,Intel Core i7-13700,319.93,16,2.1,5.2,Raptor Lake,65,Intel UHD Graphics 770,32
Intel,i9-14900F,14900f,Intel Core i9-14900F,499.0,24,2.0,5.8,Raptor Lake Refresh,65,,48
AMD,7600X3D,7600x3d,AMD Ryzen 5 7600X3D,,6,4.1,4.7,Zen 4,65,Radeon,12
AMD,5600T,5600t,AMD Ryzen 5 5600T,160.19,6,3.5,4.5,Zen 3,65,,12
Intel,i9-14900,14900,Intel Core i9-14900,571.86,24,2.0,5.8,Raptor Lake Refresh,65,Intel UHD Graphics 770,48
AMD,7945,7945,AMD Ryzen 9 PRO 7945,,12,3.7,5.4,Zen 4,65,Radeon,24
AMD,4244P,4244p,AMD EPYC 4244P,189.33,6,3.8,5.1,Zen 4,65,Radeon,12
Intel,i9-13900,13900,Intel Core i9-13900,414.99,24,2.0,5.6,Raptor Lake,65,Intel UHD Graphics 770,48
Intel,i5-13500T,13500t,Intel Core i5-13500T,,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770,28
Intel,i9-13900F,13900f,Intel Core i9-13900F,516.43,24,2.0,5.6,Raptor Lake,65,,48
AMD,4464P,4464p,AMD EPYC 4464P,429.99,12,3.7,5.4,Zen 4,65,Radeon,24
AMD,5600XT,5600xt,AMD Ryzen 5 5600XT,,6,3.7,4.7,Zen 3,65,,12
Intel,i5-14500T,14500t,Intel Core i5-14500T,,14,1.7,4.8,Raptor Lake Refresh,35,Intel UHD Graphics 770,28
Intel,i9-13900T,13900t,Intel Core i9-13900T,,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770,48
Intel,300,300,Intel 300,105.36,2,3.9,,Raptor Lake Refresh,46,Intel UHD Graphics 710,4
AMD,4344P,4344p,AMD EPYC 4344P,345.99,8,3.8,5.3,Zen 4,65,Radeon,16
AMD,5600T,5600t,AMD Ryzen 5 5600T,,6,3.5,4.5,Zen 3,65,,12
Intel,i7-13700T,13700t,Intel Core i7-13700T,,16,1.4,4.9,Raptor Lake,35,,32
AMD,4364P,4364p,AMD EPYC 4364P,389.99,8,4.5,5.4,Zen 4,105,Radeon,16
AMD,7645,7645,AMD Ryzen 5 PRO 7645,,6,3.8,5.1,Zen 4,65,Radeon,12
Intel,i5-13600,13600,Intel Core i5-13600,,14,2.7,5.0,Raptor Lake,65,Intel UHD Graphics 770,28
AMD,4584PX,4584px,AMD EPYC 4584PX,,16,4.2,5.7,Zen 4,120,Radeon,32
AMD,7745,7745,AMD Ryzen 7 PRO 7745,,8,3.8,5.3,Zen 4,65,Radeon,16
Intel,i3-13100T,13100t,Intel Core i3-13100T,,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730,8
AMD,7745,7745,AMD Ryzen 7 PRO 7745,,8,3.8,5.3,Zen 4,65,Radeon,16
AMD,4484PX,4484px,AMD EPYC 4484PX,,12,4.4,5.6,Zen 4,120,Radeon,24
