name,price,amount,slug
Arctic Silver Ceramique 2 Tri-Linear,14.0,25.0,arctic-silver-ceramique-2-tri-linear
Deepcool DM9,,1.5,deepcool-dm9
Prolimatech PK-2 Nano Aluminum High-Grade,17.48,5.0,prolimatech-pk-2-nano-aluminum-high-grade
Coollaboratory Liquid Ultra,,0.15,coollaboratory-liquid-ultra
ARCTIC MX-2,,65.0,arctic-mx-2
ARCTIC MX-2 2019 Edition,,4.0,arctic-mx-2-2019-edition
NZXT High-performance,,3.0,nzxt-high-performance
Thermaltake TG-30,8.99,4.0,thermaltake-tg-30
Scythe Thermal Elixer G,27.01,3.5,scythe-thermal-elixer-g
Thermal Hero NEO,62.81,50.0,thermal-hero-neo
Thermal Hero METALLIQ,18.48,1.0,thermal-hero-metalliq
Arctic Silver Arctic Alumina Premium Ceramic Polysynthetic,,14.0,arctic-silver-arctic-alumina-premium-ceramic-polysynthetic
TUNIQ TX-4 Extreme Performance,12.99,1.0,tuniq-tx-4-extreme-performance
Cooler Master IC ESSENTIAL E1,11.86,3.75,cooler-master-ic-essential-e1
EK EK-TIM Ectotherm,,5.0,ek-ek-tim-ectotherm
Thermalright TFX,,6.2,thermalright-tfx
Iceberg Thermal FUZEIce Plus,,3.5,iceberg-thermal-fuzeice-plus
Thermal Hero QUANTUM,31.09,10.0,thermal-hero-quantum
Thermal Hero METALLIQ,16.89,2.0,thermal-hero-metalliq
Prolimatech PK-2 Nano Aluminum High-Grade,10.36,1.5,prolimatech-pk-2-nano-aluminum-high-grade
Thermal Hero QUANTUM,11.64,1.0,thermal-hero-quantum
Prolimatech PK-1,14.99,5.0,prolimatech-pk-1
Antec Formula 7 Nano Diamond,,4.0,antec-formula-7-nano-diamond
Prolimatech PK-2 Nano Aluminum High-Grade,39.33,30.0,prolimatech-pk-2-nano-aluminum-high-grade
Rosewill RCX-TC001,8.0,5.0,rosewill-rcx-tc001
ARCTIC MX-2,,65.0,arctic-mx-2
Prolimatech PK-1,38.99,30.0,prolimatech-pk-1
Antec 77064,,1.0,antec-77064
Deepcool Z3,,1.5,deepcool-z3
Prolimatech PK-Zero,13.99,5.0,prolimatech-pk-zero
Cooler Master MasterGel Maker,,4.0,cooler-master-mastergel-maker
Phanteks PH-NDC_02,,2.0,phanteks-ph-ndc-02
ARCTIC MX-2,,30.0,arctic-mx-2
Thermalright TF8,,5.8,thermalright-tf8
Thermalright Silver King,,1.0,thermalright-silver-king
ARCTIC MX-5,,8.0,arctic-mx-5
Gelid Solutions GC-4,,3.5,gelid-solutions-gc-4
Gelid Solutions GC-Extreme,,1.0,gelid-solutions-gc-extreme
Xilence ZUB-XPTP.X5,12.98,3.0,xilence-zub-xptp-x5
Thermal Hero ULTRA,12.9,4.0,thermal-hero-ultra
