name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug
G.Skill Trident Z5 Royal Neo RGB 32 GB,149.99,"2,16",4.687,Silver,9.333,28.0,DDR5,6000,g-skill-trident-z5-royal-neo-rgb-32-gb-ddr5-6000
Corsair Vengeance 64 GB,199.99,"2,32",3.125,Black / Gray,10.0,30.0,DDR5,6000,corsair-vengeance-64-gb-ddr5-6000
G.Skill Trident Z RGB 32 GB,82.99,"2,16",2.593,Black,10.0,18.0,DDR4,3600,g-skill-trident-z-rgb-32-gb-ddr4-3600
Kingston FURY Beast 16 GB,78.61,"2,8",4.913,Black,10.0,16.0,DDR4,3200,kingston-fury-beast-16-gb-ddr4-3200
G.Skill Ripjaws V 16 GB,45.99,"2,8",2.874,Black,10.0,16.0,DDR4,3200,g-skill-ripjaws-v-16-gb-ddr4-3200
Crucial Classic 16 GB,43.99,"2,8",2.749,Black,16.429,46.0,DDR5,5600,crucial-classic-16-gb-ddr5-5600
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"2,16",2.718,White,10.0,30.0,DDR5,6000,silicon-power-xpower-zenith-gaming-32-gb-ddr5-6000
Corsair Vengeance RGB 32 GB,94.99,"2,16",2.968,Black,11.25,36.0,DDR5,6400,corsair-vengeance-rgb-32-gb-ddr5-6400
G.Skill Ripjaws S5 32 GB,109.99,"2,16",3.437,Black,10.0,30.0,DDR5,6000,g-skill-ripjaws-s5-32-gb-ddr5-6000
Corsair Vengeance LPX 64 GB,154.99,"2,32",2.422,Black / Yellow,10.0,16.0,DDR4,3200,corsair-vengeance-lpx-64-gb-ddr4-3200
Crucial Pro 32 GB,82.99,"2,16",2.593,Black,16.429,46.0,DDR5,5600,crucial-pro-32-gb-ddr5-5600
Kingston FURY Beast RGB 32 GB,134.99,"2,16",4.218,Black,10.0,30.0,DDR5,6000,kingston-fury-beast-rgb-32-gb-ddr5-6000
Corsair Dominator Titanium 64 GB,306.23,"2,32",4.785,Black,9.697,32.0,DDR5,6600,corsair-dominator-titanium-64-gb-ddr5-6600
Crucial Pro 32 GB,78.98,"2,16",2.468,Black,13.75,22.0,DDR4,3200,crucial-pro-32-gb-ddr4-3200
Patriot Venom 64 GB,157.99,"2,32",2.469,Black,10.0,30.0,DDR5,6000,patriot-venom-64-gb-ddr5-6000
Crucial Pro 64 GB,139.99,"2,32",2.187,Black,16.429,46.0,DDR5,5600,crucial-pro-64-gb-ddr5-5600
Corsair Vengeance 32 GB,109.99,"2,16",3.437,Black,12.0,36.0,DDR5,6000,corsair-vengeance-32-gb-ddr5-6000
Corsair Vengeance RGB 192 GB,614.99,"4,48",3.203,Black,14.615,38.0,DDR5,5200,corsair-vengeance-rgb-192-gb-ddr5-5200
G.Skill Ripjaws V 16 GB,49.99,"2,8",3.124,Black,8.889,16.0,DDR4,3600,g-skill-ripjaws-v-16-gb-ddr4-3600
Silicon Power XPOWER Zenith Gaming 32 GB,86.99,"2,16",2.718,Black,10.0,30.0,DDR5,6000,silicon-power-xpower-zenith-gaming-32-gb-ddr5-6000
