name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_generation,frequency_mhz,slug,capacity_gb,Benchmark
Corsair Vengeance LPX 8 GB,35.0,2,,Red,13.333,16.0,DDR4,2400.0,corsair-vengeance-lpx-8-gb-ddr4-2400,8,41.6
Corsair Vengeance LPX 8 GB,35.0,2,,Red,13.333,16.0,DDR4,2400.0,corsair-vengeance-lpx-8-gb-ddr4-2400,8,41.6
Corsair Vengeance LPX 8 GB,35.0,2,,Red,13.333,16.0,DDR4,2400.0,corsair-vengeance-lpx-8-gb-ddr4-2400,8,38.7
G.Skill Trident Z 16 GB,80.0,2,,Red / Silver,9.333,14.0,DDR4,3000.0,g-skill-trident-z-16-gb-ddr4-3000,16,84.3
G.Skill Trident Z 64 GB,320.0,4,,Red / Silver,8.75,14.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,116.0
G.Skill Trident Z 64 GB,320.0,4,,Red / Silver,8.75,14.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,103.0
G.Skill Trident Z 16 GB,75.0,2,,Red / Silver,9.375,15.0,DDR4,3200.0,g-skill-trident-z-16-gb-ddr4-3200,16,85.4
G.Skill Trident Z 64 GB,320.0,4,,Red / Silver,9.375,15.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,116.0
G.Skill Trident Z 64 GB,320.0,4,,Red / Silver,9.375,15.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,103.0
Corsair Vengeance LPX 16 GB,42.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-16-gb-ddr4-2400,16,83.3
Corsair Vengeance LPX 16 GB,42.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-16-gb-ddr4-2400,16,83.3
Corsair Vengeance LPX 16 GB,42.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-16-gb-ddr4-2400,16,83.3
Corsair Vengeance LPX 16 GB,42.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-16-gb-ddr4-2400,16,80.9
Corsair Vengeance LPX 16 GB,42.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-16-gb-ddr4-2400,16,75.8
Corsair Vengeance LPX 16 GB,42.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-16-gb-ddr4-2400,16,72.6
Corsair Vengeance LPX 16 GB,42.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-16-gb-ddr4-2400,16,72.6
Corsair Vengeance LPX 32 GB,120.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-32-gb-ddr4-2400,32,87.1
Corsair Vengeance LPX 32 GB,120.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-32-gb-ddr4-2400,32,87.1
Corsair Vengeance LPX 32 GB,120.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-32-gb-ddr4-2400,32,87.1
Corsair Vengeance LPX 32 GB,120.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-32-gb-ddr4-2400,32,85.1
Corsair Vengeance LPX 32 GB,120.0,4,,Red,12.5,15.0,DDR4,2400.0,corsair-vengeance-lpx-32-gb-ddr4-2400,32,76.7
G.Skill Ripjaws V 64 GB,280.0,4,,Red,8.75,14.0,DDR4,3200.0,g-skill-ripjaws-v-64-gb-ddr4-3200,64,94.5
Corsair Vengeance LPX 16 GB,90.0,2,,Red,10.0,18.0,DDR4,3600.0,corsair-vengeance-lpx-16-gb-ddr4-3600,16,89.4
Corsair Vengeance LPX 32 GB,150.0,4,,Red,10.0,18.0,DDR4,3600.0,corsair-vengeance-lpx-32-gb-ddr4-3600,32,95.4
Corsair Vengeance LPX 16 GB,75.0,4,,Black / Yellow,9.375,15.0,DDR4,3200.0,corsair-vengeance-lpx-16-gb-ddr4-3200,16,85.1
Corsair Vengeance LPX 16 GB,75.0,4,,Black / Yellow,9.375,15.0,DDR4,3200.0,corsair-vengeance-lpx-16-gb-ddr4-3200,16,85.1
Corsair Vengeance LPX 16 GB,75.0,4,,Black / Yellow,9.375,15.0,DDR4,3200.0,corsair-vengeance-lpx-16-gb-ddr4-3200,16,84.5
G.Skill Trident Z 64 GB,320.0,8,,Red / Silver,8.75,14.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,116.0
G.Skill Trident Z 64 GB,320.0,8,,Red / Silver,8.75,14.0,DDR4,3200.0,g-skill-trident-z-64-gb-ddr4-3200,64,103.0
G.Skill Ripjaws V 64 GB,280.0,8,,Red,10.0,16.0,DDR4,3200.0,g-skill-ripjaws-v-64-gb-ddr4-3200,64,94.5
Corsair Vengeance LPX 32 GB,150.0,4,,Red,8.889,16.0,DDR4,3600.0,corsair-vengeance-lpx-32-gb-ddr4-3600,32,95.4
G.Skill Trident Z 16 GB,75.0,2,,Silver / Black,9.375,15.0,DDR4,3200.0,g-skill-trident-z-16-gb-ddr4-3200,16,85.4
G.Skill Trident Z 16 GB,75.0,2,,Black / Yellow,8.75,14.0,DDR4,3200.0,g-skill-trident-z-16-gb-ddr4-3200,16,85.4
